"epoch","cnn_lstm_eeg_64chan_51 - _step","cnn_lstm_eeg_64chan_51 - _step__MIN","cnn_lstm_eeg_64chan_51 - _step__MAX","cnn_lstm_eeg_64chan_51 - train/loss","cnn_lstm_eeg_64chan_51 - train/loss__MIN","cnn_lstm_eeg_64chan_51 - train/loss__MAX","cnn_lstm_eeg_64chan_50 - _step","cnn_lstm_eeg_64chan_50 - _step__MIN","cnn_lstm_eeg_64chan_50 - _step__MAX","cnn_lstm_eeg_64chan_50 - train/loss","cnn_lstm_eeg_64chan_50 - train/loss__MIN","cnn_lstm_eeg_64chan_50 - train/loss__MAX","cnn_lstm_eeg_64chan_49 - _step","cnn_lstm_eeg_64chan_49 - _step__MIN","cnn_lstm_eeg_64chan_49 - _step__MAX","cnn_lstm_eeg_64chan_49 - train/loss","cnn_lstm_eeg_64chan_49 - train/loss__MIN","cnn_lstm_eeg_64chan_49 - train/loss__MAX","cnn_lstm_eeg_64chan_48 - _step","cnn_lstm_eeg_64chan_48 - _step__MIN","cnn_lstm_eeg_64chan_48 - _step__MAX","cnn_lstm_eeg_64chan_48 - train/loss","cnn_lstm_eeg_64chan_48 - train/loss__MIN","cnn_lstm_eeg_64chan_48 - train/loss__MAX","cnn_lstm_eeg_64chan_47 - _step","cnn_lstm_eeg_64chan_47 - _step__MIN","cnn_lstm_eeg_64chan_47 - _step__MAX","cnn_lstm_eeg_64chan_47 - train/loss","cnn_lstm_eeg_64chan_47 - train/loss__MIN","cnn_lstm_eeg_64chan_47 - train/loss__MAX","cnn_lstm_eeg_64chan_46 - _step","cnn_lstm_eeg_64chan_46 - _step__MIN","cnn_lstm_eeg_64chan_46 - _step__MAX","cnn_lstm_eeg_64chan_46 - train/loss","cnn_lstm_eeg_64chan_46 - train/loss__MIN","cnn_lstm_eeg_64chan_46 - train/loss__MAX","cnn_lstm_eeg_64chan_45 - _step","cnn_lstm_eeg_64chan_45 - _step__MIN","cnn_lstm_eeg_64chan_45 - _step__MAX","cnn_lstm_eeg_64chan_45 - train/loss","cnn_lstm_eeg_64chan_45 - train/loss__MIN","cnn_lstm_eeg_64chan_45 - train/loss__MAX","cnn_lstm_eeg_64chan_44 - _step","cnn_lstm_eeg_64chan_44 - _step__MIN","cnn_lstm_eeg_64chan_44 - _step__MAX","cnn_lstm_eeg_64chan_44 - train/loss","cnn_lstm_eeg_64chan_44 - train/loss__MIN","cnn_lstm_eeg_64chan_44 - train/loss__MAX","cnn_lstm_eeg_64chan_43 - _step","cnn_lstm_eeg_64chan_43 - _step__MIN","cnn_lstm_eeg_64chan_43 - _step__MAX","cnn_lstm_eeg_64chan_43 - train/loss","cnn_lstm_eeg_64chan_43 - train/loss__MIN","cnn_lstm_eeg_64chan_43 - train/loss__MAX","cnn_lstm_eeg_64chan_42 - _step","cnn_lstm_eeg_64chan_42 - _step__MIN","cnn_lstm_eeg_64chan_42 - _step__MAX","cnn_lstm_eeg_64chan_42 - train/loss","cnn_lstm_eeg_64chan_42 - train/loss__MIN","cnn_lstm_eeg_64chan_42 - train/loss__MAX"
"0","4","0","8","0.6326875024371676","0.5597723722457886","0.6958554983139038","4","0","8","0.6210832066006131","0.491192102432251","0.7129318714141846","4","0","8","0.5885047515233358","0.4654937982559204","0.7184007167816162","4","0","8","0.624587615331014","0.5361791849136353","0.696277916431427","4","0","8","0.6159006357192993","0.4684697389602661","0.7417038083076477","4","0","8","0.6225201686223348","0.49100422859191895","0.7185262441635132","4","0","8","0.630786312950982","0.5654414296150208","0.7064938545227051","4","0","8","0.6041813492774963","0.5185303092002869","0.6978501677513123","4","0","8","0.5988491078217825","0.4608606994152069","0.6962419152259827","4","0","8","0.6280948519706726","0.5062402486801147","0.7374518513679504"
"1","14","10","18","0.4661417173014747","0.31878432631492615","0.5409187078475952","14","10","18","0.4532124532593621","0.3643297255039215","0.5392053723335266","14","10","18","0.4801511930094825","0.33486539125442505","0.5808612704277039","14","10","18","0.48670215408007306","0.3800157308578491","0.5558024048805237","14","10","18","0.4972589976257748","0.38096508383750916","0.5633888840675354","14","10","18","0.4327602750725216","0.33691707253456116","0.5154048800468445","14","10","18","0.48847788241174483","0.3485484719276428","0.6633756756782532","14","10","18","0.4484149283832974","0.33433255553245544","0.5985192060470581","14","10","18","0.4836809237798055","0.3502354025840759","0.6066741943359375","14","10","18","0.4578401313887702","0.3602118194103241","0.5864831209182739"
"2","24","20","28","0.4377971920702193","0.3585062325000763","0.6300662755966187","24","20","28","0.3443007303608788","0.2453356385231018","0.4521777033805847","24","20","28","0.3872224489847819","0.2910844683647156","0.5420354604721069","24","20","28","0.39782803588443333","0.30436936020851135","0.576071560382843","24","20","28","0.3694116738107469","0.3111497163772583","0.44807884097099304","24","20","28","0.37992656727631885","0.23451073467731476","0.6139148473739624","24","20","28","0.3807556496726142","0.25111743807792664","0.4395415186882019","24","20","28","0.43083903193473816","0.360168993473053","0.5417200922966003","24","20","28","0.3614177306493123","0.2962580621242523","0.4522508382797241","24","20","28","0.3863384922345479","0.2643650472164154","0.5591564178466797"
"3","34.5","30","39","0.2996108740568161","0.2060309201478958","0.3924272954463959","34.5","30","39","0.30086420476436615","0.14394131302833557","0.5141488909721375","34.5","30","39","0.2778624027967453","0.1757550984621048","0.38711032271385193","34.5","30","39","0.3396005004644394","0.19503062963485718","0.5443902611732483","34.5","30","39","0.2776067927479744","0.15389032661914825","0.46710139513015747","34.5","30","39","0.2749302744865417","0.1773889809846878","0.37710440158843994","34.5","30","39","0.24217295795679092","0.14849555492401123","0.39147117733955383","34.5","30","39","0.29556191265583037","0.12008953094482422","0.6328350305557251","34.5","30","39","0.3555711805820465","0.2512930929660797","0.531502366065979","34.5","30","39","0.28628520369529725","0.1675793081521988","0.39405015110969543"
"4","45","41","49","0.19607370264000362","0.10167160630226135","0.30767059326171875","45","41","49","0.23327592346403334","0.1396511346101761","0.41720014810562134","45","41","49","0.21849422570731905","0.08897082507610321","0.33496761322021484","45","41","49","0.21766478568315506","0.1136884018778801","0.32712823152542114","45","41","49","0.2520544280608495","0.138792023062706","0.45196983218193054","45","41","49","0.23486873507499695","0.180551677942276","0.30038177967071533","45","41","49","0.2780681401491165","0.17832568287849426","0.38913384079933167","45","41","49","0.24220680197079977","0.12141993641853333","0.32990920543670654","45","41","49","0.20247559828890693","0.11325933784246445","0.2765408158302307","45","41","49","0.24408585329850516","0.1491902470588684","0.344295471906662"
"5","55","51","59","0.194973880218135","0.06810663640499115","0.37731629610061646","55","51","59","0.1904000917242633","0.054617349058389664","0.372550368309021","55","51","59","0.15903517024384606","0.059108667075634","0.3715280294418335","55","51","59","0.13644825998279783","0.10320860892534256","0.1865341067314148","55","51","59","0.18282337321175468","0.09652823954820633","0.35647425055503845","55","51","59","0.19858135200209087","0.08595602214336395","0.31156766414642334","55","51","59","0.17707553837034437","0.08101876825094223","0.3180522322654724","55","51","59","0.2256729362739457","0.11196816712617874","0.45339086651802063","55","51","59","0.1596753675904539","0.06065722182393074","0.33137935400009155","55","51","59","0.18957013057337868","0.07989710569381714","0.3215419054031372"
"6","65","61","69","0.1400507597459687","0.0718379020690918","0.1887708455324173","65","61","69","0.16370784201555783","0.0599583275616169","0.27311837673187256","65","61","69","0.16159987449645996","0.06628444790840149","0.3022328317165375","65","61","69","0.16947794415884548","0.03653733804821968","0.3869307041168213","65","61","69","0.15359660796821117","0.02309262566268444","0.28904861211776733","65","61","69","0.15036889289816222","0.042997825890779495","0.2427198439836502","65","61","69","0.12217789640029271","0.037984684109687805","0.23381131887435913","65","61","69","0.11379049387243059","0.036383211612701416","0.2691923975944519","65","61","69","0.13811441676484215","0.05798652768135071","0.22435614466667175","65","61","69","0.09672271460294724","0.038637880235910416","0.1728477030992508"
"7","75.5","71","80","0.09561559390276671","0.023854585364460945","0.22737137973308563","75.5","71","80","0.12337663657963276","0.04242485389113426","0.361859530210495","75.5","71","80","0.0951827634125948","0.025923673063516617","0.20554828643798828","75.5","71","80","0.11625651940703392","0.012681469321250916","0.1876567304134369","75.5","71","80","0.11236878093332052","0.029562169685959816","0.2948037385940552","75.5","71","80","0.16596694104373455","0.051798004657030106","0.27723318338394165","75.5","71","80","0.12330618947744369","0.06161908060312271","0.23510275781154633","75.5","71","80","0.14065847136080264","0.041932303458452225","0.23351237177848816","75.5","71","80","0.1077612292021513","0.0564878024160862","0.2126106470823288","75.5","71","80","0.10132350437343121","0.02501755766570568","0.3001682758331299"
"8","86","82","90","0.10023938657508956","0.05327119305729866","0.1486510932445526","86","82","90","0.09314199578430918","0.04562937468290329","0.1792486608028412","86","82","90","0.13533419080906445","0.046088721603155136","0.3332539200782776","86","82","90","0.13053683791723517","0.029729468747973442","0.22802940011024475","86","82","90","0.15259599147571457","0.042529281228780746","0.3757786750793457","86","82","90","0.0854550331003136","0.036867279559373856","0.13904187083244324","86","82","90","0.07641605681015386","0.02884524129331112","0.21680264174938202","86","82","90","0.11104358277387089","0.01696152612566948","0.21296685934066772","86","82","90","0.12059004131394128","0.002028132090345025","0.2560945451259613","86","82","90","0.09185122253580226","0.00863638985902071","0.13133303821086884"
"9","96","92","100","0.05194773286994961","0.013193951919674873","0.10715234279632568","96","92","100","0.15555054818590483","0.06087625399231911","0.32266128063201904","96","92","100","0.10059151384565565","0.021060124039649963","0.24544914066791534","96","92","100","0.0713156627284156","0.0421607531607151","0.19563956558704376","96","92","100","0.057592740282416344","0.016518421471118927","0.16407421231269836","96","92","100","0.06627220277571017","0.008331882767379284","0.11623550206422806","96","92","100","0.11633407334900564","0.010071970522403717","0.303882360458374","96","92","100","0.08221781465949284","0.004796565044671297","0.24327951669692993","96","92","100","0.10582187709709008","0.00298418290913105","0.22083844244480133","96","92","100","0.059997571632266045","0.013216650113463402","0.14472715556621552"
