"epoch","cnn_lstm_eeg_thesis_51 - _step","cnn_lstm_eeg_thesis_51 - _step__MIN","cnn_lstm_eeg_thesis_51 - _step__MAX","cnn_lstm_eeg_thesis_51 - train/loss","cnn_lstm_eeg_thesis_51 - train/loss__MIN","cnn_lstm_eeg_thesis_51 - train/loss__MAX","cnn_lstm_eeg_thesis_50 - _step","cnn_lstm_eeg_thesis_50 - _step__MIN","cnn_lstm_eeg_thesis_50 - _step__MAX","cnn_lstm_eeg_thesis_50 - train/loss","cnn_lstm_eeg_thesis_50 - train/loss__MIN","cnn_lstm_eeg_thesis_50 - train/loss__MAX","cnn_lstm_eeg_thesis_49 - _step","cnn_lstm_eeg_thesis_49 - _step__MIN","cnn_lstm_eeg_thesis_49 - _step__MAX","cnn_lstm_eeg_thesis_49 - train/loss","cnn_lstm_eeg_thesis_49 - train/loss__MIN","cnn_lstm_eeg_thesis_49 - train/loss__MAX","cnn_lstm_eeg_thesis_48 - _step","cnn_lstm_eeg_thesis_48 - _step__MIN","cnn_lstm_eeg_thesis_48 - _step__MAX","cnn_lstm_eeg_thesis_48 - train/loss","cnn_lstm_eeg_thesis_48 - train/loss__MIN","cnn_lstm_eeg_thesis_48 - train/loss__MAX","cnn_lstm_eeg_thesis_47 - _step","cnn_lstm_eeg_thesis_47 - _step__MIN","cnn_lstm_eeg_thesis_47 - _step__MAX","cnn_lstm_eeg_thesis_47 - train/loss","cnn_lstm_eeg_thesis_47 - train/loss__MIN","cnn_lstm_eeg_thesis_47 - train/loss__MAX","cnn_lstm_eeg_thesis_46 - _step","cnn_lstm_eeg_thesis_46 - _step__MIN","cnn_lstm_eeg_thesis_46 - _step__MAX","cnn_lstm_eeg_thesis_46 - train/loss","cnn_lstm_eeg_thesis_46 - train/loss__MIN","cnn_lstm_eeg_thesis_46 - train/loss__MAX","cnn_lstm_eeg_thesis_45 - _step","cnn_lstm_eeg_thesis_45 - _step__MIN","cnn_lstm_eeg_thesis_45 - _step__MAX","cnn_lstm_eeg_thesis_45 - train/loss","cnn_lstm_eeg_thesis_45 - train/loss__MIN","cnn_lstm_eeg_thesis_45 - train/loss__MAX","cnn_lstm_eeg_thesis_44 - _step","cnn_lstm_eeg_thesis_44 - _step__MIN","cnn_lstm_eeg_thesis_44 - _step__MAX","cnn_lstm_eeg_thesis_44 - train/loss","cnn_lstm_eeg_thesis_44 - train/loss__MIN","cnn_lstm_eeg_thesis_44 - train/loss__MAX","cnn_lstm_eeg_thesis_43 - _step","cnn_lstm_eeg_thesis_43 - _step__MIN","cnn_lstm_eeg_thesis_43 - _step__MAX","cnn_lstm_eeg_thesis_43 - train/loss","cnn_lstm_eeg_thesis_43 - train/loss__MIN","cnn_lstm_eeg_thesis_43 - train/loss__MAX","cnn_lstm_eeg_thesis_42 - _step","cnn_lstm_eeg_thesis_42 - _step__MIN","cnn_lstm_eeg_thesis_42 - _step__MAX","cnn_lstm_eeg_thesis_42 - train/loss","cnn_lstm_eeg_thesis_42 - train/loss__MIN","cnn_lstm_eeg_thesis_42 - train/loss__MAX"
"0","4","0","8","0.6989903516239591","0.6817333698272705","0.7557942271232605","4","0","8","0.6906722717814975","0.6816965937614441","0.7024620771408081","4","0","8","0.6945359905560812","0.6730072498321533","0.7564432621002197","4","0","8","0.7014231416914198","0.676551103591919","0.7322133183479309","4","0","8","0.7013285093837314","0.6797654628753662","0.7480645775794983","4","0","8","0.6870750917328728","0.6666811108589172","0.7071254253387451","4","0","8","0.6956978771421645","0.6755037903785706","0.7145500779151917","4","0","8","0.7019030518001981","0.6839010715484619","0.750212550163269","4","0","8","0.7115393016073439","0.675512969493866","0.799950361251831","4","0","8","0.6925587587886386","0.6793892979621887","0.7179763913154602"
"1","14","10","18","0.6864330304993523","0.6738347411155701","0.6984129548072815","14","10","18","0.6851803726620145","0.6649492383003235","0.7060823440551758","14","10","18","0.6963029305140177","0.6705459952354431","0.7209181785583496","14","10","18","0.7003661327891879","0.6774693131446838","0.7499952912330627","14","10","18","0.7023931476804945","0.666031002998352","0.7741759419441223","14","10","18","0.6893495387501187","0.6770775318145752","0.7153273224830627","14","10","18","0.6953061885303922","0.6759395599365234","0.7157849073410034","14","10","18","0.6863183511628045","0.666904628276825","0.7042331099510193","14","10","18","0.6939459708001878","0.6762268543243408","0.707309901714325","14","10","18","0.6896672977341546","0.6705885529518127","0.7078965306282043"
"2","24","20","28","0.7003538741005791","0.6724113821983337","0.7646524310112","24","20","28","0.6835873789257474","0.6721414923667908","0.6960489749908447","24","20","28","0.685482919216156","0.652090311050415","0.7126048803329468","24","20","28","0.7011434435844421","0.6844552159309387","0.7111677527427673","24","20","28","0.6874346733093262","0.6666567325592041","0.7165399789810181","24","20","28","0.7040325668123033","0.6646714806556702","0.7326427102088928","24","20","28","0.6858796411090426","0.6498579382896423","0.7059453129768372","24","20","28","0.6832120021184286","0.664444088935852","0.7021227478981018","24","20","28","0.6883764664332072","0.666204035282135","0.7142816185951233","24","20","28","0.687001003159417","0.6707507371902466","0.7038484811782837"
"3","34.5","30","39","0.6966036856174469","0.6738043427467346","0.7561513781547546","34.5","30","39","0.6791223049163818","0.6433854699134827","0.7066588401794434","34.5","30","39","0.6981443762779236","0.6843355298042297","0.7264809012413025","34.5","30","39","0.688112097978592","0.6608976721763611","0.7204480767250061","34.5","30","39","0.6795949876308441","0.6647957563400269","0.7045127749443054","34.5","30","39","0.6873726606369018","0.6670281291007996","0.7185840010643005","34.5","30","39","0.679710990190506","0.6407974362373352","0.7314498424530029","34.5","30","39","0.6821265518665314","0.6652408242225647","0.7030500173568726","34.5","30","39","0.6741015553474426","0.6555185317993164","0.6891210079193115","34.5","30","39","0.6919029176235199","0.6713430285453796","0.7120115160942078"
"4","45","41","49","0.6901134782367282","0.6637976169586182","0.7183254957199097","45","41","49","0.6884836753209432","0.6470844149589539","0.7621371150016785","45","41","49","0.6985084149572585","0.6777678728103638","0.7162810564041138","45","41","49","0.6759572691387601","0.6595498323440552","0.7010741233825684","45","41","49","0.687247614065806","0.6548659205436707","0.7254509925842285","45","41","49","0.6752189000447592","0.6487652063369751","0.7153215408325195","45","41","49","0.6673374109798007","0.6412993669509888","0.7069665193557739","45","41","49","0.678910149468316","0.6566646695137024","0.7138259410858154","45","41","49","0.6816978719499376","0.6597477197647095","0.7130119800567627","45","41","49","0.6723802089691162","0.6160681843757629","0.7152265310287476"
"5","55","51","59","0.6745958990520902","0.6337025761604309","0.7257809638977051","55","51","59","0.6748035020298428","0.6056199073791504","0.7175577878952026","55","51","59","0.684958729479048","0.6666209101676941","0.7110334634780884","55","51","59","0.6814632150861952","0.6388883590698242","0.7228033542633057","55","51","59","0.6867339081234403","0.6638434529304504","0.7240535616874695","55","51","59","0.6828819645775689","0.6567291617393494","0.7249233722686768","55","51","59","0.6731917990578545","0.6506818532943726","0.7075490951538086","55","51","59","0.6692218846744962","0.6257250905036926","0.6956285238265991","55","51","59","0.6750819418165419","0.6333755850791931","0.6945889592170715","55","51","59","0.6894708673159281","0.657440185546875","0.7246155142784119"
"6","65","61","69","0.6800677710109286","0.6493132710456848","0.740940511226654","65","61","69","0.647424578666687","0.616946280002594","0.7130197286605835","65","61","69","0.6811530060238309","0.6507508754730225","0.7069616317749023","65","61","69","0.6665694250000848","0.6255577802658081","0.707345724105835","65","61","69","0.6745591560999552","0.6391280889511108","0.7279579043388367","65","61","69","0.6848620374997457","0.6312347054481506","0.729173481464386","65","61","69","0.6772084832191467","0.6348875164985657","0.738322913646698","65","61","69","0.6790492335955302","0.6380033493041992","0.7466216087341309","65","61","69","0.6735551489724053","0.6349993348121643","0.7019388675689697","65","61","69","0.6657445165846083","0.6411323547363281","0.6991525888442993"
"7","75.5","71","80","0.6750941097736358","0.6187015771865845","0.724552571773529","75.5","71","80","0.6429847300052642","0.6076033711433411","0.6990970969200134","75.5","71","80","0.682393878698349","0.6339446306228638","0.7408668994903564","75.5","71","80","0.643619817495346","0.5608252882957458","0.71405428647995","75.5","71","80","0.6576127111911774","0.6286089420318604","0.7211551070213318","75.5","71","80","0.6667690277099609","0.6113764643669128","0.7055072784423828","75.5","71","80","0.658042061328888","0.638186514377594","0.6899636387825012","75.5","71","80","0.6580792725086212","0.6285494565963745","0.6894444227218628","75.5","71","80","0.6410692155361175","0.6141588091850281","0.6974717378616333","75.5","71","80","0.641414612531662","0.6093020439147949","0.6843513250350952"
"8","86","82","90","0.6689041256904602","0.5993953943252563","0.722553014755249","86","82","90","0.6558464037047492","0.6303333640098572","0.6960555911064148","86","82","90","0.6504371894730462","0.621506929397583","0.68381267786026","86","82","90","0.6746251119507684","0.6026084423065186","0.7618716955184937","86","82","90","0.657814191447364","0.5867188572883606","0.7277873158454895","86","82","90","0.6629474229282803","0.6269947290420532","0.7168552875518799","86","82","90","0.6552334162924025","0.620582640171051","0.7293660640716553","86","82","90","0.6724653707610236","0.6241640448570251","0.7292374968528748","86","82","90","0.6420865257581075","0.602278470993042","0.6882925033569336","86","82","90","0.6652816202905443","0.6415809988975525","0.7037490010261536"
"9","96","92","100","0.6214350991778903","0.54942387342453","0.6663423180580139","96","92","100","0.6423533691300286","0.5851240158081055","0.7268345952033997","96","92","100","0.6687242918544345","0.6298089027404785","0.7014409303665161","96","92","100","0.65247952275806","0.6134189367294312","0.7017695307731628","96","92","100","0.624733587106069","0.550345242023468","0.6842918992042542","96","92","100","0.6303200523058573","0.564217209815979","0.6842575073242188","96","92","100","0.6573369171884325","0.568462610244751","0.7309315800666809","96","92","100","0.6435962915420532","0.5663044452667236","0.7293383479118347","96","92","100","0.6442215773794386","0.575648844242096","0.7272771000862122","96","92","100","0.6357358760303922","0.5835443735122681","0.6815239191055298"
