"Actual","Predicted","_defaultColorIndex","id","nPredictions","name"
"fist","fist","12","ntx0j86d","7254","cnn_lstm_300_50_thesis_51"
"fist","noGesture","12","ntx0j86d","5","cnn_lstm_300_50_thesis_51"
"fist","open","12","ntx0j86d","118","cnn_lstm_300_50_thesis_51"
"fist","pinch","12","ntx0j86d","89","cnn_lstm_300_50_thesis_51"
"fist","waveIn","12","ntx0j86d","175","cnn_lstm_300_50_thesis_51"
"fist","waveOut","12","ntx0j86d","9","cnn_lstm_300_50_thesis_51"
"noGesture","fist","12","ntx0j86d","1","cnn_lstm_300_50_thesis_51"
"noGesture","noGesture","12","ntx0j86d","7596","cnn_lstm_300_50_thesis_51"
"noGesture","open","12","ntx0j86d","8","cnn_lstm_300_50_thesis_51"
"noGesture","pinch","12","ntx0j86d","26","cnn_lstm_300_50_thesis_51"
"noGesture","waveIn","12","ntx0j86d","18","cnn_lstm_300_50_thesis_51"
"noGesture","waveOut","12","ntx0j86d","1","cnn_lstm_300_50_thesis_51"
"open","fist","12","ntx0j86d","92","cnn_lstm_300_50_thesis_51"
"open","noGesture","12","ntx0j86d","5","cnn_lstm_300_50_thesis_51"
"open","open","12","ntx0j86d","6671","cnn_lstm_300_50_thesis_51"
"open","pinch","12","ntx0j86d","323","cnn_lstm_300_50_thesis_51"
"open","waveIn","12","ntx0j86d","99","cnn_lstm_300_50_thesis_51"
"open","waveOut","12","ntx0j86d","460","cnn_lstm_300_50_thesis_51"
"pinch","fist","12","ntx0j86d","87","cnn_lstm_300_50_thesis_51"
"pinch","noGesture","12","ntx0j86d","9","cnn_lstm_300_50_thesis_51"
"pinch","open","12","ntx0j86d","109","cnn_lstm_300_50_thesis_51"
"pinch","pinch","12","ntx0j86d","7323","cnn_lstm_300_50_thesis_51"
"pinch","waveIn","12","ntx0j86d","52","cnn_lstm_300_50_thesis_51"
"pinch","waveOut","12","ntx0j86d","70","cnn_lstm_300_50_thesis_51"
"waveIn","fist","12","ntx0j86d","221","cnn_lstm_300_50_thesis_51"
"waveIn","noGesture","12","ntx0j86d","26","cnn_lstm_300_50_thesis_51"
"waveIn","open","12","ntx0j86d","74","cnn_lstm_300_50_thesis_51"
"waveIn","pinch","12","ntx0j86d","67","cnn_lstm_300_50_thesis_51"
"waveIn","waveIn","12","ntx0j86d","7221","cnn_lstm_300_50_thesis_51"
"waveIn","waveOut","12","ntx0j86d","41","cnn_lstm_300_50_thesis_51"
"waveOut","fist","12","ntx0j86d","24","cnn_lstm_300_50_thesis_51"
"waveOut","noGesture","12","ntx0j86d","11","cnn_lstm_300_50_thesis_51"
"waveOut","open","12","ntx0j86d","411","cnn_lstm_300_50_thesis_51"
"waveOut","pinch","12","ntx0j86d","48","cnn_lstm_300_50_thesis_51"
"waveOut","waveIn","12","ntx0j86d","69","cnn_lstm_300_50_thesis_51"
"waveOut","waveOut","12","ntx0j86d","7087","cnn_lstm_300_50_thesis_51"
"fist","fist","11","be259wfq","7241","cnn_lstm_300_50_thesis_50"
"fist","noGesture","11","be259wfq","4","cnn_lstm_300_50_thesis_50"
"fist","open","11","be259wfq","165","cnn_lstm_300_50_thesis_50"
"fist","pinch","11","be259wfq","72","cnn_lstm_300_50_thesis_50"
"fist","waveIn","11","be259wfq","154","cnn_lstm_300_50_thesis_50"
"fist","waveOut","11","be259wfq","14","cnn_lstm_300_50_thesis_50"
"noGesture","fist","11","be259wfq","1","cnn_lstm_300_50_thesis_50"
"noGesture","noGesture","11","be259wfq","7573","cnn_lstm_300_50_thesis_50"
"noGesture","open","11","be259wfq","12","cnn_lstm_300_50_thesis_50"
"noGesture","pinch","11","be259wfq","33","cnn_lstm_300_50_thesis_50"
"noGesture","waveIn","11","be259wfq","30","cnn_lstm_300_50_thesis_50"
"noGesture","waveOut","11","be259wfq","1","cnn_lstm_300_50_thesis_50"
"open","fist","11","be259wfq","101","cnn_lstm_300_50_thesis_50"
"open","noGesture","11","be259wfq","14","cnn_lstm_300_50_thesis_50"
"open","open","11","be259wfq","6564","cnn_lstm_300_50_thesis_50"
"open","pinch","11","be259wfq","332","cnn_lstm_300_50_thesis_50"
"open","waveIn","11","be259wfq","133","cnn_lstm_300_50_thesis_50"
"open","waveOut","11","be259wfq","506","cnn_lstm_300_50_thesis_50"
"pinch","fist","11","be259wfq","64","cnn_lstm_300_50_thesis_50"
"pinch","noGesture","11","be259wfq","17","cnn_lstm_300_50_thesis_50"
"pinch","open","11","be259wfq","133","cnn_lstm_300_50_thesis_50"
"pinch","pinch","11","be259wfq","7275","cnn_lstm_300_50_thesis_50"
"pinch","waveIn","11","be259wfq","60","cnn_lstm_300_50_thesis_50"
"pinch","waveOut","11","be259wfq","101","cnn_lstm_300_50_thesis_50"
"waveIn","fist","11","be259wfq","187","cnn_lstm_300_50_thesis_50"
"waveIn","noGesture","11","be259wfq","14","cnn_lstm_300_50_thesis_50"
"waveIn","open","11","be259wfq","56","cnn_lstm_300_50_thesis_50"
"waveIn","pinch","11","be259wfq","65","cnn_lstm_300_50_thesis_50"
"waveIn","waveIn","11","be259wfq","7274","cnn_lstm_300_50_thesis_50"
"waveIn","waveOut","11","be259wfq","54","cnn_lstm_300_50_thesis_50"
"waveOut","fist","11","be259wfq","4","cnn_lstm_300_50_thesis_50"
"waveOut","noGesture","11","be259wfq","9","cnn_lstm_300_50_thesis_50"
"waveOut","open","11","be259wfq","410","cnn_lstm_300_50_thesis_50"
"waveOut","pinch","11","be259wfq","36","cnn_lstm_300_50_thesis_50"
"waveOut","waveIn","11","be259wfq","44","cnn_lstm_300_50_thesis_50"
"waveOut","waveOut","11","be259wfq","7147","cnn_lstm_300_50_thesis_50"
"fist","fist","10","lxsj47k8","7271","cnn_lstm_300_50_thesis_49"
"fist","noGesture","10","lxsj47k8","6","cnn_lstm_300_50_thesis_49"
"fist","open","10","lxsj47k8","146","cnn_lstm_300_50_thesis_49"
"fist","pinch","10","lxsj47k8","44","cnn_lstm_300_50_thesis_49"
"fist","waveIn","10","lxsj47k8","181","cnn_lstm_300_50_thesis_49"
"fist","waveOut","10","lxsj47k8","2","cnn_lstm_300_50_thesis_49"
"noGesture","fist","10","lxsj47k8","0","cnn_lstm_300_50_thesis_49"
"noGesture","noGesture","10","lxsj47k8","7581","cnn_lstm_300_50_thesis_49"
"noGesture","open","10","lxsj47k8","10","cnn_lstm_300_50_thesis_49"
"noGesture","pinch","10","lxsj47k8","23","cnn_lstm_300_50_thesis_49"
"noGesture","waveIn","10","lxsj47k8","32","cnn_lstm_300_50_thesis_49"
"noGesture","waveOut","10","lxsj47k8","4","cnn_lstm_300_50_thesis_49"
"open","fist","10","lxsj47k8","66","cnn_lstm_300_50_thesis_49"
"open","noGesture","10","lxsj47k8","3","cnn_lstm_300_50_thesis_49"
"open","open","10","lxsj47k8","6944","cnn_lstm_300_50_thesis_49"
"open","pinch","10","lxsj47k8","205","cnn_lstm_300_50_thesis_49"
"open","waveIn","10","lxsj47k8","124","cnn_lstm_300_50_thesis_49"
"open","waveOut","10","lxsj47k8","308","cnn_lstm_300_50_thesis_49"
"pinch","fist","10","lxsj47k8","123","cnn_lstm_300_50_thesis_49"
"pinch","noGesture","10","lxsj47k8","21","cnn_lstm_300_50_thesis_49"
"pinch","open","10","lxsj47k8","229","cnn_lstm_300_50_thesis_49"
"pinch","pinch","10","lxsj47k8","7131","cnn_lstm_300_50_thesis_49"
"pinch","waveIn","10","lxsj47k8","72","cnn_lstm_300_50_thesis_49"
"pinch","waveOut","10","lxsj47k8","74","cnn_lstm_300_50_thesis_49"
"waveIn","fist","10","lxsj47k8","159","cnn_lstm_300_50_thesis_49"
"waveIn","noGesture","10","lxsj47k8","20","cnn_lstm_300_50_thesis_49"
"waveIn","open","10","lxsj47k8","58","cnn_lstm_300_50_thesis_49"
"waveIn","pinch","10","lxsj47k8","34","cnn_lstm_300_50_thesis_49"
"waveIn","waveIn","10","lxsj47k8","7330","cnn_lstm_300_50_thesis_49"
"waveIn","waveOut","10","lxsj47k8","49","cnn_lstm_300_50_thesis_49"
"waveOut","fist","10","lxsj47k8","20","cnn_lstm_300_50_thesis_49"
"waveOut","noGesture","10","lxsj47k8","9","cnn_lstm_300_50_thesis_49"
"waveOut","open","10","lxsj47k8","596","cnn_lstm_300_50_thesis_49"
"waveOut","pinch","10","lxsj47k8","16","cnn_lstm_300_50_thesis_49"
"waveOut","waveIn","10","lxsj47k8","74","cnn_lstm_300_50_thesis_49"
"waveOut","waveOut","10","lxsj47k8","6935","cnn_lstm_300_50_thesis_49"
"fist","fist","9","euknk12o","7310","cnn_lstm_300_50_thesis_48"
"fist","noGesture","9","euknk12o","3","cnn_lstm_300_50_thesis_48"
"fist","open","9","euknk12o","119","cnn_lstm_300_50_thesis_48"
