"Actual","Predicted","_defaultColorIndex","id","nPredictions","name"
"fist","fist","12","geqx7k6v","5288","cnn_lstm_50_10_thesis_pretrained_51"
"fist","noGesture","12","geqx7k6v","10","cnn_lstm_50_10_thesis_pretrained_51"
"fist","open","12","geqx7k6v","273","cnn_lstm_50_10_thesis_pretrained_51"
"fist","pinch","12","geqx7k6v","868","cnn_lstm_50_10_thesis_pretrained_51"
"fist","waveIn","12","geqx7k6v","1160","cnn_lstm_50_10_thesis_pretrained_51"
"fist","waveOut","12","geqx7k6v","51","cnn_lstm_50_10_thesis_pretrained_51"
"noGesture","fist","12","geqx7k6v","11","cnn_lstm_50_10_thesis_pretrained_51"
"noGesture","noGesture","12","geqx7k6v","7458","cnn_lstm_50_10_thesis_pretrained_51"
"noGesture","open","12","geqx7k6v","47","cnn_lstm_50_10_thesis_pretrained_51"
"noGesture","pinch","12","geqx7k6v","24","cnn_lstm_50_10_thesis_pretrained_51"
"noGesture","waveIn","12","geqx7k6v","61","cnn_lstm_50_10_thesis_pretrained_51"
"noGesture","waveOut","12","geqx7k6v","49","cnn_lstm_50_10_thesis_pretrained_51"
"open","fist","12","geqx7k6v","380","cnn_lstm_50_10_thesis_pretrained_51"
"open","noGesture","12","geqx7k6v","3","cnn_lstm_50_10_thesis_pretrained_51"
"open","open","12","geqx7k6v","3988","cnn_lstm_50_10_thesis_pretrained_51"
"open","pinch","12","geqx7k6v","2013","cnn_lstm_50_10_thesis_pretrained_51"
"open","waveIn","12","geqx7k6v","212","cnn_lstm_50_10_thesis_pretrained_51"
"open","waveOut","12","geqx7k6v","1054","cnn_lstm_50_10_thesis_pretrained_51"
"pinch","fist","12","geqx7k6v","481","cnn_lstm_50_10_thesis_pretrained_51"
"pinch","noGesture","12","geqx7k6v","37","cnn_lstm_50_10_thesis_pretrained_51"
"pinch","open","12","geqx7k6v","1015","cnn_lstm_50_10_thesis_pretrained_51"
"pinch","pinch","12","geqx7k6v","5213","cnn_lstm_50_10_thesis_pretrained_51"
"pinch","waveIn","12","geqx7k6v","555","cnn_lstm_50_10_thesis_pretrained_51"
"pinch","waveOut","12","geqx7k6v","349","cnn_lstm_50_10_thesis_pretrained_51"
"waveIn","fist","12","geqx7k6v","629","cnn_lstm_50_10_thesis_pretrained_51"
"waveIn","noGesture","12","geqx7k6v","21","cnn_lstm_50_10_thesis_pretrained_51"
"waveIn","open","12","geqx7k6v","152","cnn_lstm_50_10_thesis_pretrained_51"
"waveIn","pinch","12","geqx7k6v","385","cnn_lstm_50_10_thesis_pretrained_51"
"waveIn","waveIn","12","geqx7k6v","6346","cnn_lstm_50_10_thesis_pretrained_51"
"waveIn","waveOut","12","geqx7k6v","117","cnn_lstm_50_10_thesis_pretrained_51"
"waveOut","fist","12","geqx7k6v","21","cnn_lstm_50_10_thesis_pretrained_51"
"waveOut","noGesture","12","geqx7k6v","10","cnn_lstm_50_10_thesis_pretrained_51"
"waveOut","open","12","geqx7k6v","823","cnn_lstm_50_10_thesis_pretrained_51"
"waveOut","pinch","12","geqx7k6v","415","cnn_lstm_50_10_thesis_pretrained_51"
