"Actual","Predicted","_defaultColorIndex","id","nPredictions","name"
"fist","fist","7","nnnxbuqz","5410","lstm_50_10_final_51"
"fist","noGesture","7","nnnxbuqz","147","lstm_50_10_final_51"
"fist","open","7","nnnxbuqz","483","lstm_50_10_final_51"
"fist","pinch","7","nnnxbuqz","874","lstm_50_10_final_51"
"fist","waveIn","7","nnnxbuqz","474","lstm_50_10_final_51"
"fist","waveOut","7","nnnxbuqz","262","lstm_50_10_final_51"
"noGesture","fist","7","nnnxbuqz","107","lstm_50_10_final_51"
"noGesture","noGesture","7","nnnxbuqz","7169","lstm_50_10_final_51"
"noGesture","open","7","nnnxbuqz","57","lstm_50_10_final_51"
"noGesture","pinch","7","nnnxbuqz","110","lstm_50_10_final_51"
"noGesture","waveIn","7","nnnxbuqz","191","lstm_50_10_final_51"
"noGesture","waveOut","7","nnnxbuqz","16","lstm_50_10_final_51"
"open","fist","7","nnnxbuqz","1349","lstm_50_10_final_51"
"open","noGesture","7","nnnxbuqz","296","lstm_50_10_final_51"
"open","open","7","nnnxbuqz","1810","lstm_50_10_final_51"
"open","pinch","7","nnnxbuqz","915","lstm_50_10_final_51"
"open","waveIn","7","nnnxbuqz","123","lstm_50_10_final_51"
"open","waveOut","7","nnnxbuqz","3157","lstm_50_10_final_51"
"pinch","fist","7","nnnxbuqz","1847","lstm_50_10_final_51"
"pinch","noGesture","7","nnnxbuqz","152","lstm_50_10_final_51"
"pinch","open","7","nnnxbuqz","523","lstm_50_10_final_51"
"pinch","pinch","7","nnnxbuqz","4184","lstm_50_10_final_51"
"pinch","waveIn","7","nnnxbuqz","328","lstm_50_10_final_51"
"pinch","waveOut","7","nnnxbuqz","616","lstm_50_10_final_51"
"waveIn","fist","7","nnnxbuqz","476","lstm_50_10_final_51"
"waveIn","noGesture","7","nnnxbuqz","285","lstm_50_10_final_51"
"waveIn","open","7","nnnxbuqz","174","lstm_50_10_final_51"
"waveIn","pinch","7","nnnxbuqz","245","lstm_50_10_final_51"
"waveIn","waveIn","7","nnnxbuqz","6144","lstm_50_10_final_51"
"waveIn","waveOut","7","nnnxbuqz","326","lstm_50_10_final_51"
"waveOut","fist","7","nnnxbuqz","50","lstm_50_10_final_51"
"waveOut","noGesture","7","nnnxbuqz","174","lstm_50_10_final_51"
"waveOut","open","7","nnnxbuqz","352","lstm_50_10_final_51"
"waveOut","pinch","7","nnnxbuqz","208","lstm_50_10_final_51"
"waveOut","waveIn","7","nnnxbuqz","210","lstm_50_10_final_51"
"waveOut","waveOut","7","nnnxbuqz","6656","lstm_50_10_final_51"
"fist","fist","6","j4tvcuxc","5560","lstm_50_10_final_50"
"fist","noGesture","6","j4tvcuxc","182","lstm_50_10_final_50"
"fist","open","6","j4tvcuxc","139","lstm_50_10_final_50"
"fist","pinch","6","j4tvcuxc","870","lstm_50_10_final_50"
"fist","waveIn","6","j4tvcuxc","456","lstm_50_10_final_50"
"fist","waveOut","6","j4tvcuxc","443","lstm_50_10_final_50"
"noGesture","fist","6","j4tvcuxc","40","lstm_50_10_final_50"
"noGesture","noGesture","6","j4tvcuxc","7340","lstm_50_10_final_50"
"noGesture","open","6","j4tvcuxc","12","lstm_50_10_final_50"
"noGesture","pinch","6","j4tvcuxc","107","lstm_50_10_final_50"
"noGesture","waveIn","6","j4tvcuxc","90","lstm_50_10_final_50"
"noGesture","waveOut","6","j4tvcuxc","61","lstm_50_10_final_50"
"open","fist","6","j4tvcuxc","980","lstm_50_10_final_50"
"open","noGesture","6","j4tvcuxc","308","lstm_50_10_final_50"
"open","open","6","j4tvcuxc","573","lstm_50_10_final_50"
"open","pinch","6","j4tvcuxc","1031","lstm_50_10_final_50"
"open","waveIn","6","j4tvcuxc","165","lstm_50_10_final_50"
"open","waveOut","6","j4tvcuxc","4593","lstm_50_10_final_50"
"pinch","fist","6","j4tvcuxc","1858","lstm_50_10_final_50"
"pinch","noGesture","6","j4tvcuxc","176","lstm_50_10_final_50"
"pinch","open","6","j4tvcuxc","230","lstm_50_10_final_50"
"pinch","pinch","6","j4tvcuxc","4322","lstm_50_10_final_50"
"pinch","waveIn","6","j4tvcuxc","368","lstm_50_10_final_50"
"pinch","waveOut","6","j4tvcuxc","696","lstm_50_10_final_50"
"waveIn","fist","6","j4tvcuxc","467","lstm_50_10_final_50"
"waveIn","noGesture","6","j4tvcuxc","410","lstm_50_10_final_50"
"waveIn","open","6","j4tvcuxc","70","lstm_50_10_final_50"
"waveIn","pinch","6","j4tvcuxc","353","lstm_50_10_final_50"
"waveIn","waveIn","6","j4tvcuxc","5954","lstm_50_10_final_50"
"waveIn","waveOut","6","j4tvcuxc","396","lstm_50_10_final_50"
"waveOut","fist","6","j4tvcuxc","136","lstm_50_10_final_50"
"waveOut","noGesture","6","j4tvcuxc","194","lstm_50_10_final_50"
"waveOut","open","6","j4tvcuxc","109","lstm_50_10_final_50"
"waveOut","pinch","6","j4tvcuxc","219","lstm_50_10_final_50"
"waveOut","waveIn","6","j4tvcuxc","219","lstm_50_10_final_50"
"waveOut","waveOut","6","j4tvcuxc","6773","lstm_50_10_final_50"
"fist","fist","5","zughx8bc","5889","lstm_50_10_final_49"
"fist","noGesture","5","zughx8bc","130","lstm_50_10_final_49"
"fist","open","5","zughx8bc","247","lstm_50_10_final_49"
"fist","pinch","5","zughx8bc","693","lstm_50_10_final_49"
"fist","waveIn","5","zughx8bc","460","lstm_50_10_final_49"
"fist","waveOut","5","zughx8bc","231","lstm_50_10_final_49"
"noGesture","fist","5","zughx8bc","17","lstm_50_10_final_49"
"noGesture","noGesture","5","zughx8bc","7311","lstm_50_10_final_49"
"noGesture","open","5","zughx8bc","41","lstm_50_10_final_49"
"noGesture","pinch","5","zughx8bc","35","lstm_50_10_final_49"
"noGesture","waveIn","5","zughx8bc","179","lstm_50_10_final_49"
"noGesture","waveOut","5","zughx8bc","67","lstm_50_10_final_49"
"open","fist","5","zughx8bc","854","lstm_50_10_final_49"
"open","noGesture","5","zughx8bc","207","lstm_50_10_final_49"
"open","open","5","zughx8bc","1754","lstm_50_10_final_49"
"open","pinch","5","zughx8bc","1942","lstm_50_10_final_49"
"open","waveIn","5","zughx8bc","164","lstm_50_10_final_49"
"open","waveOut","5","zughx8bc","2729","lstm_50_10_final_49"
"pinch","fist","5","zughx8bc","1049","lstm_50_10_final_49"
"pinch","noGesture","5","zughx8bc","114","lstm_50_10_final_49"
"pinch","open","5","zughx8bc","484","lstm_50_10_final_49"
"pinch","pinch","5","zughx8bc","5042","lstm_50_10_final_49"
"pinch","waveIn","5","zughx8bc","446","lstm_50_10_final_49"
"pinch","waveOut","5","zughx8bc","515","lstm_50_10_final_49"
"waveIn","fist","5","zughx8bc","387","lstm_50_10_final_49"
"waveIn","noGesture","5","zughx8bc","315","lstm_50_10_final_49"
"waveIn","open","5","zughx8bc","86","lstm_50_10_final_49"
"waveIn","pinch","5","zughx8bc","233","lstm_50_10_final_49"
"waveIn","waveIn","5","zughx8bc","6464","lstm_50_10_final_49"
"waveIn","waveOut","5","zughx8bc","165","lstm_50_10_final_49"
"waveOut","fist","5","zughx8bc","82","lstm_50_10_final_49"
"waveOut","noGesture","5","zughx8bc","105","lstm_50_10_final_49"
"waveOut","open","5","zughx8bc","305","lstm_50_10_final_49"
"waveOut","pinch","5","zughx8bc","155","lstm_50_10_final_49"
"waveOut","waveIn","5","zughx8bc","184","lstm_50_10_final_49"
"waveOut","waveOut","5","zughx8bc","6819","lstm_50_10_final_49"
"fist","fist","4","83dqtasj","5904","lstm_50_10_final_48"
"fist","noGesture","4","83dqtasj","88","lstm_50_10_final_48"
"fist","open","4","83dqtasj","341","lstm_50_10_final_48"
"fist","pinch","4","83dqtasj","844","lstm_50_10_final_48"
"fist","waveIn","4","83dqtasj","350","lstm_50_10_final_48"
"fist","waveOut","4","83dqtasj","123","lstm_50_10_final_48"
"noGesture","fist","4","83dqtasj","16","lstm_50_10_final_48"
"noGesture","noGesture","4","83dqtasj","7187","lstm_50_10_final_48"
"noGesture","open","4","83dqtasj","31","lstm_50_10_final_48"
"noGesture","pinch","4","83dqtasj","161","lstm_50_10_final_48"
"noGesture","waveIn","4","83dqtasj","215","lstm_50_10_final_48"
"noGesture","waveOut","4","83dqtasj","40","lstm_50_10_final_48"
"open","fist","4","83dqtasj","633","lstm_50_10_final_48"
"open","noGesture","4","83dqtasj","191","lstm_50_10_final_48"
"open","open","4","83dqtasj","1926","lstm_50_10_final_48"
"open","pinch","4","83dqtasj","998","lstm_50_10_final_48"
"open","waveIn","4","83dqtasj","163","lstm_50_10_final_48"
"open","waveOut","4","83dqtasj","3739","lstm_50_10_final_48"
"pinch","fist","4","83dqtasj","1958","lstm_50_10_final_48"
"pinch","noGesture","4","83dqtasj","89","lstm_50_10_final_48"
"pinch","open","4","83dqtasj","741","lstm_50_10_final_48"
"pinch","pinch","4","83dqtasj","4040","lstm_50_10_final_48"
"pinch","waveIn","4","83dqtasj","350","lstm_50_10_final_48"
"pinch","waveOut","4","83dqtasj","472","lstm_50_10_final_48"
"waveIn","fist","4","83dqtasj","297","lstm_50_10_final_48"
"waveIn","noGesture","4","83dqtasj","204","lstm_50_10_final_48"
"waveIn","open","4","83dqtasj","129","lstm_50_10_final_48"
"waveIn","pinch","4","83dqtasj","419","lstm_50_10_final_48"
"waveIn","waveIn","4","83dqtasj","6454","lstm_50_10_final_48"
"waveIn","waveOut","4","83dqtasj","147","lstm_50_10_final_48"
"waveOut","fist","4","83dqtasj","86","lstm_50_10_final_48"
"waveOut","noGesture","4","83dqtasj","120","lstm_50_10_final_48"
"waveOut","open","4","83dqtasj","398","lstm_50_10_final_48"
"waveOut","pinch","4","83dqtasj","202","lstm_50_10_final_48"
"waveOut","waveIn","4","83dqtasj","266","lstm_50_10_final_48"
"waveOut","waveOut","4","83dqtasj","6578","lstm_50_10_final_48"
"fist","fist","3","ij44bpwn","5697","lstm_50_10_final_47"
"fist","noGesture","3","ij44bpwn","154","lstm_50_10_final_47"
"fist","open","3","ij44bpwn","474","lstm_50_10_final_47"
"fist","pinch","3","ij44bpwn","891","lstm_50_10_final_47"
"fist","waveIn","3","ij44bpwn","328","lstm_50_10_final_47"
"fist","waveOut","3","ij44bpwn","106","lstm_50_10_final_47"
"noGesture","fist","3","ij44bpwn","20","lstm_50_10_final_47"
"noGesture","noGesture","3","ij44bpwn","7463","lstm_50_10_final_47"
"noGesture","open","3","ij44bpwn","51","lstm_50_10_final_47"
"noGesture","pinch","3","ij44bpwn","31","lstm_50_10_final_47"
"noGesture","waveIn","3","ij44bpwn","56","lstm_50_10_final_47"
"noGesture","waveOut","3","ij44bpwn","29","lstm_50_10_final_47"
"open","fist","3","ij44bpwn","703","lstm_50_10_final_47"
"open","noGesture","3","ij44bpwn","248","lstm_50_10_final_47"
"open","open","3","ij44bpwn","3149","lstm_50_10_final_47"
"open","pinch","3","ij44bpwn","869","lstm_50_10_final_47"
"open","waveIn","3","ij44bpwn","150","lstm_50_10_final_47"
"open","waveOut","3","ij44bpwn","2531","lstm_50_10_final_47"
"pinch","fist","3","ij44bpwn","1580","lstm_50_10_final_47"
"pinch","noGesture","3","ij44bpwn","155","lstm_50_10_final_47"
"pinch","open","3","ij44bpwn","628","lstm_50_10_final_47"
"pinch","pinch","3","ij44bpwn","4664","lstm_50_10_final_47"
"pinch","waveIn","3","ij44bpwn","258","lstm_50_10_final_47"
"pinch","waveOut","3","ij44bpwn","365","lstm_50_10_final_47"
"waveIn","fist","3","ij44bpwn","334","lstm_50_10_final_47"
"waveIn","noGesture","3","ij44bpwn","332","lstm_50_10_final_47"
"waveIn","open","3","ij44bpwn","136","lstm_50_10_final_47"
"waveIn","pinch","3","ij44bpwn","317","lstm_50_10_final_47"
"waveIn","waveIn","3","ij44bpwn","6408","lstm_50_10_final_47"
"waveIn","waveOut","3","ij44bpwn","123","lstm_50_10_final_47"
"waveOut","fist","3","ij44bpwn","24","lstm_50_10_final_47"
"waveOut","noGesture","3","ij44bpwn","140","lstm_50_10_final_47"
"waveOut","open","3","ij44bpwn","449","lstm_50_10_final_47"
"waveOut","pinch","3","ij44bpwn","160","lstm_50_10_final_47"
"waveOut","waveIn","3","ij44bpwn","180","lstm_50_10_final_47"
"waveOut","waveOut","3","ij44bpwn","6697","lstm_50_10_final_47"
"fist","fist","2","614fltjn","6187","lstm_50_10_final_46"
"fist","noGesture","2","614fltjn","172","lstm_50_10_final_46"
"fist","open","2","614fltjn","172","lstm_50_10_final_46"
"fist","pinch","2","614fltjn","619","lstm_50_10_final_46"
"fist","waveIn","2","614fltjn","374","lstm_50_10_final_46"
"fist","waveOut","2","614fltjn","126","lstm_50_10_final_46"
"noGesture","fist","2","614fltjn","27","lstm_50_10_final_46"
"noGesture","noGesture","2","614fltjn","7474","lstm_50_10_final_46"
"noGesture","open","2","614fltjn","12","lstm_50_10_final_46"
"noGesture","pinch","2","614fltjn","32","lstm_50_10_final_46"
"noGesture","waveIn","2","614fltjn","77","lstm_50_10_final_46"
"noGesture","waveOut","2","614fltjn","28","lstm_50_10_final_46"
"open","fist","2","614fltjn","855","lstm_50_10_final_46"
"open","noGesture","2","614fltjn","254","lstm_50_10_final_46"
"open","open","2","614fltjn","1891","lstm_50_10_final_46"
"open","pinch","2","614fltjn","1232","lstm_50_10_final_46"
"open","waveIn","2","614fltjn","109","lstm_50_10_final_46"
"open","waveOut","2","614fltjn","3309","lstm_50_10_final_46"
"pinch","fist","2","614fltjn","1347","lstm_50_10_final_46"
"pinch","noGesture","2","614fltjn","173","lstm_50_10_final_46"
"pinch","open","2","614fltjn","433","lstm_50_10_final_46"
"pinch","pinch","2","614fltjn","4881","lstm_50_10_final_46"
"pinch","waveIn","2","614fltjn","292","lstm_50_10_final_46"
"pinch","waveOut","2","614fltjn","524","lstm_50_10_final_46"
"waveIn","fist","2","614fltjn","378","lstm_50_10_final_46"
"waveIn","noGesture","2","614fltjn","304","lstm_50_10_final_46"
"waveIn","open","2","614fltjn","87","lstm_50_10_final_46"
"waveIn","pinch","2","614fltjn","269","lstm_50_10_final_46"
"waveIn","waveIn","2","614fltjn","6358","lstm_50_10_final_46"
