"epoch","lstm_eeg_64chan_51 - _step","lstm_eeg_64chan_51 - _step__MIN","lstm_eeg_64chan_51 - _step__MAX","lstm_eeg_64chan_51 - train/loss","lstm_eeg_64chan_51 - train/loss__MIN","lstm_eeg_64chan_51 - train/loss__MAX","lstm_eeg_64chan_50 - _step","lstm_eeg_64chan_50 - _step__MIN","lstm_eeg_64chan_50 - _step__MAX","lstm_eeg_64chan_50 - train/loss","lstm_eeg_64chan_50 - train/loss__MIN","lstm_eeg_64chan_50 - train/loss__MAX","lstm_eeg_64chan_49 - _step","lstm_eeg_64chan_49 - _step__MIN","lstm_eeg_64chan_49 - _step__MAX","lstm_eeg_64chan_49 - train/loss","lstm_eeg_64chan_49 - train/loss__MIN","lstm_eeg_64chan_49 - train/loss__MAX","lstm_eeg_64chan_48 - _step","lstm_eeg_64chan_48 - _step__MIN","lstm_eeg_64chan_48 - _step__MAX","lstm_eeg_64chan_48 - train/loss","lstm_eeg_64chan_48 - train/loss__MIN","lstm_eeg_64chan_48 - train/loss__MAX","lstm_eeg_64chan_47 - _step","lstm_eeg_64chan_47 - _step__MIN","lstm_eeg_64chan_47 - _step__MAX","lstm_eeg_64chan_47 - train/loss","lstm_eeg_64chan_47 - train/loss__MIN","lstm_eeg_64chan_47 - train/loss__MAX","lstm_eeg_64chan_46 - _step","lstm_eeg_64chan_46 - _step__MIN","lstm_eeg_64chan_46 - _step__MAX","lstm_eeg_64chan_46 - train/loss","lstm_eeg_64chan_46 - train/loss__MIN","lstm_eeg_64chan_46 - train/loss__MAX","lstm_eeg_64chan_45 - _step","lstm_eeg_64chan_45 - _step__MIN","lstm_eeg_64chan_45 - _step__MAX","lstm_eeg_64chan_45 - train/loss","lstm_eeg_64chan_45 - train/loss__MIN","lstm_eeg_64chan_45 - train/loss__MAX","lstm_eeg_64chan_44 - _step","lstm_eeg_64chan_44 - _step__MIN","lstm_eeg_64chan_44 - _step__MAX","lstm_eeg_64chan_44 - train/loss","lstm_eeg_64chan_44 - train/loss__MIN","lstm_eeg_64chan_44 - train/loss__MAX","lstm_eeg_64chan_43 - _step","lstm_eeg_64chan_43 - _step__MIN","lstm_eeg_64chan_43 - _step__MAX","lstm_eeg_64chan_43 - train/loss","lstm_eeg_64chan_43 - train/loss__MIN","lstm_eeg_64chan_43 - train/loss__MAX","lstm_eeg_64chan_42 - _step","lstm_eeg_64chan_42 - _step__MIN","lstm_eeg_64chan_42 - _step__MAX","lstm_eeg_64chan_42 - train/loss","lstm_eeg_64chan_42 - train/loss__MIN","lstm_eeg_64chan_42 - train/loss__MAX"
"0","0","0","0","0.6939868927001953","0.6939868927001953","0.6939868927001953","0","0","0","0.6933616399765015","0.6933616399765015","0.6933616399765015","0","0","0","0.6980526447296143","0.6980526447296143","0.6980526447296143","0","0","0","0.6919048428535461","0.6919048428535461","0.6919048428535461","0","0","0","0.6926984786987305","0.6926984786987305","0.6926984786987305","0","0","0","0.6942959427833557","0.6942959427833557","0.6942959427833557","0","0","0","0.69317626953125","0.69317626953125","0.69317626953125","0","0","0","0.6925063729286194","0.6925063729286194","0.6925063729286194","0","0","0","0.6930522918701172","0.6930522918701172","0.6930522918701172","0","0","0","0.6885471940040588","0.6885471940040588","0.6885471940040588"
"1","2","2","2","0.6938363909721375","0.6938363909721375","0.6938363909721375","2","2","2","0.6937832236289978","0.6937832236289978","0.6937832236289978","2","2","2","0.6877058148384094","0.6877058148384094","0.6877058148384094","2","2","2","0.6973920464515686","0.6973920464515686","0.6973920464515686","2","2","2","0.6915682554244995","0.6915682554244995","0.6915682554244995","2","2","2","0.6841297745704651","0.6841297745704651","0.6841297745704651","2","2","2","0.6950138807296753","0.6950138807296753","0.6950138807296753","2","2","2","0.6890003085136414","0.6890003085136414","0.6890003085136414","2","2","2","0.6844801306724548","0.6844801306724548","0.6844801306724548","2","2","2","0.6911712884902954","0.6911712884902954","0.6911712884902954"
"2","4","4","4","0.6920831203460693","0.6920831203460693","0.6920831203460693","4","4","4","0.6951056122779846","0.6951056122779846","0.6951056122779846","4","4","4","0.6964658498764038","0.6964658498764038","0.6964658498764038","4","4","4","0.674827516078949","0.674827516078949","0.674827516078949","4","4","4","0.6996074318885803","0.6996074318885803","0.6996074318885803","4","4","4","0.6831568479537964","0.6831568479537964","0.6831568479537964","4","4","4","0.6906671524047852","0.6906671524047852","0.6906671524047852","4","4","4","0.6823376417160034","0.6823376417160034","0.6823376417160034","4","4","4","0.6866445541381836","0.6866445541381836","0.6866445541381836","4","4","4","0.706684947013855","0.706684947013855","0.706684947013855"
"3","6","6","6","0.659869372844696","0.659869372844696","0.659869372844696","6","6","6","0.6794018149375916","0.6794018149375916","0.6794018149375916","6","6","6","0.6985065937042236","0.6985065937042236","0.6985065937042236","6","6","6","0.6848364472389221","0.6848364472389221","0.6848364472389221","6","6","6","0.6926788091659546","0.6926788091659546","0.6926788091659546","6","6","6","0.6636492609977722","0.6636492609977722","0.6636492609977722","6","6","6","0.686251163482666","0.686251163482666","0.686251163482666","6","6","6","0.6791722774505615","0.6791722774505615","0.6791722774505615","6","6","6","0.7259120941162109","0.7259120941162109","0.7259120941162109","6","6","6","0.6714087128639221","0.6714087128639221","0.6714087128639221"
"4","8","8","8","0.6607909202575684","0.6607909202575684","0.6607909202575684","8","8","8","0.6867358088493347","0.6867358088493347","0.6867358088493347","8","8","8","0.6787369251251221","0.6787369251251221","0.6787369251251221","8","8","8","0.6795459389686584","0.6795459389686584","0.6795459389686584","8","8","8","0.6471856832504272","0.6471856832504272","0.6471856832504272","8","8","8","0.6519170999526978","0.6519170999526978","0.6519170999526978","8","8","8","0.7032673358917236","0.7032673358917236","0.7032673358917236","8","8","8","0.6374908685684204","0.6374908685684204","0.6374908685684204","8","8","8","0.6904364824295044","0.6904364824295044","0.6904364824295044","8","8","8","0.6993598937988281","0.6993598937988281","0.6993598937988281"
"5","10","10","10","0.6746813654899597","0.6746813654899597","0.6746813654899597","10","10","10","0.7221708297729492","0.7221708297729492","0.7221708297729492","10","10","10","0.6647002696990967","0.6647002696990967","0.6647002696990967","10","10","10","0.6633256077766418","0.6633256077766418","0.6633256077766418","10","10","10","0.6373806595802307","0.6373806595802307","0.6373806595802307","10","10","10","0.6697043776512146","0.6697043776512146","0.6697043776512146","10","10","10","0.6838484406471252","0.6838484406471252","0.6838484406471252","10","10","10","0.6561327576637268","0.6561327576637268","0.6561327576637268","10","10","10","0.6450721621513367","0.6450721621513367","0.6450721621513367","10","10","10","0.6956068873405457","0.6956068873405457","0.6956068873405457"
"6","12.5","12","13","0.6465466916561127","0.6444900631904602","0.6486033201217651","12.5","12","13","0.6421512365341187","0.6274567246437073","0.65684574842453","12.5","12","13","0.6468777358531952","0.6333626508712769","0.6603928208351135","12.5","12","13","0.6525825262069702","0.6328415274620056","0.6723235249519348","12.5","12","13","0.6671223938465118","0.6404238939285278","0.6938208937644958","12.5","12","13","0.6674621999263763","0.6525052189826965","0.6824191808700562","12.5","12","13","0.6779853105545044","0.6720348000526428","0.683935821056366","12.5","12","13","0.6618638336658478","0.6592969298362732","0.6644307374954224","12.5","12","13","0.655285656452179","0.6488901376724243","0.6616811752319336","12.5","12","13","0.6516633033752441","0.6149707436561584","0.6883558630943298"
"7","15","15","15","0.6255064010620117","0.6255064010620117","0.6255064010620117","15","15","15","0.6616533994674683","0.6616533994674683","0.6616533994674683","15","15","15","0.6558006405830383","0.6558006405830383","0.6558006405830383","15","15","15","0.6554881930351257","0.6554881930351257","0.6554881930351257","15","15","15","0.710300862789154","0.710300862789154","0.710300862789154","15","15","15","0.6139037013053894","0.6139037013053894","0.6139037013053894","15","15","15","0.6728939414024353","0.6728939414024353","0.6728939414024353","15","15","15","0.6872538924217224","0.6872538924217224","0.6872538924217224","15","15","15","0.62519770860672","0.62519770860672","0.62519770860672","15","15","15","0.6601707339286804","0.6601707339286804","0.6601707339286804"
"8","17","17","17","0.6212674379348755","0.6212674379348755","0.6212674379348755","17","17","17","0.6434141993522644","0.6434141993522644","0.6434141993522644","17","17","17","0.6119321584701538","0.6119321584701538","0.6119321584701538","17","17","17","0.6732313632965088","0.6732313632965088","0.6732313632965088","17","17","17","0.6215920448303223","0.6215920448303223","0.6215920448303223","17","17","17","0.6966121196746826","0.6966121196746826","0.6966121196746826","17","17","17","0.706199586391449","0.706199586391449","0.706199586391449","17","17","17","0.6239657402038574","0.6239657402038574","0.6239657402038574","17","17","17","0.677232563495636","0.677232563495636","0.677232563495636","17","17","17","0.6603066325187683","0.6603066325187683","0.6603066325187683"
"9","19","19","19","0.6218400597572327","0.6218400597572327","0.6218400597572327","19","19","19","0.6742297410964966","0.6742297410964966","0.6742297410964966","19","19","19","0.6683782935142517","0.6683782935142517","0.6683782935142517","19","19","19","0.6519700288772583","0.6519700288772583","0.6519700288772583","19","19","19","0.6121277809143066","0.6121277809143066","0.6121277809143066","19","19","19","0.633213222026825","0.633213222026825","0.633213222026825","19","19","19","0.6956570744514465","0.6956570744514465","0.6956570744514465","19","19","19","0.6960691809654236","0.6960691809654236","0.6960691809654236","19","19","19","0.6571001410484314","0.6571001410484314","0.6571001410484314","19","19","19","0.6784130334854126","0.6784130334854126","0.6784130334854126"
