"epoch","lstm_eeg_51 - _step","lstm_eeg_51 - _step__MIN","lstm_eeg_51 - _step__MAX","lstm_eeg_51 - train/loss","lstm_eeg_51 - train/loss__MIN","lstm_eeg_51 - train/loss__MAX","lstm_eeg_50 - _step","lstm_eeg_50 - _step__MIN","lstm_eeg_50 - _step__MAX","lstm_eeg_50 - train/loss","lstm_eeg_50 - train/loss__MIN","lstm_eeg_50 - train/loss__MAX","lstm_eeg_49 - _step","lstm_eeg_49 - _step__MIN","lstm_eeg_49 - _step__MAX","lstm_eeg_49 - train/loss","lstm_eeg_49 - train/loss__MIN","lstm_eeg_49 - train/loss__MAX","lstm_eeg_48 - _step","lstm_eeg_48 - _step__MIN","lstm_eeg_48 - _step__MAX","lstm_eeg_48 - train/loss","lstm_eeg_48 - train/loss__MIN","lstm_eeg_48 - train/loss__MAX","lstm_eeg_47 - _step","lstm_eeg_47 - _step__MIN","lstm_eeg_47 - _step__MAX","lstm_eeg_47 - train/loss","lstm_eeg_47 - train/loss__MIN","lstm_eeg_47 - train/loss__MAX","lstm_eeg_46 - _step","lstm_eeg_46 - _step__MIN","lstm_eeg_46 - _step__MAX","lstm_eeg_46 - train/loss","lstm_eeg_46 - train/loss__MIN","lstm_eeg_46 - train/loss__MAX","lstm_eeg_45 - _step","lstm_eeg_45 - _step__MIN","lstm_eeg_45 - _step__MAX","lstm_eeg_45 - train/loss","lstm_eeg_45 - train/loss__MIN","lstm_eeg_45 - train/loss__MAX","lstm_eeg_44 - _step","lstm_eeg_44 - _step__MIN","lstm_eeg_44 - _step__MAX","lstm_eeg_44 - train/loss","lstm_eeg_44 - train/loss__MIN","lstm_eeg_44 - train/loss__MAX","lstm_eeg_43 - _step","lstm_eeg_43 - _step__MIN","lstm_eeg_43 - _step__MAX","lstm_eeg_43 - train/loss","lstm_eeg_43 - train/loss__MIN","lstm_eeg_43 - train/loss__MAX","lstm_eeg_42 - _step","lstm_eeg_42 - _step__MIN","lstm_eeg_42 - _step__MAX","lstm_eeg_42 - train/loss","lstm_eeg_42 - train/loss__MIN","lstm_eeg_42 - train/loss__MAX"
"0","0","0","0","0.6914945840835571","0.6914945840835571","0.6914945840835571","0","0","0","0.6913120150566101","0.6913120150566101","0.6913120150566101","0","0","0","0.6926178932189941","0.6926178932189941","0.6926178932189941","0","0","0","0.6816980838775635","0.6816980838775635","0.6816980838775635","0","0","0","0.6899888515472412","0.6899888515472412","0.6899888515472412","0","0","0","0.6943873763084412","0.6943873763084412","0.6943873763084412","0","0","0","0.699638843536377","0.699638843536377","0.699638843536377","0","0","0","0.6915376782417297","0.6915376782417297","0.6915376782417297","0","0","0","0.6915282607078552","0.6915282607078552","0.6915282607078552","0","0","0","0.6963984370231628","0.6963984370231628","0.6963984370231628"
"1","2","2","2","0.6930839419364929","0.6930839419364929","0.6930839419364929","2","2","2","0.7075653672218323","0.7075653672218323","0.7075653672218323","2","2","2","0.6987513899803162","0.6987513899803162","0.6987513899803162","2","2","2","0.6978474855422974","0.6978474855422974","0.6978474855422974","2","2","2","0.6977741718292236","0.6977741718292236","0.6977741718292236","2","2","2","0.6935076713562012","0.6935076713562012","0.6935076713562012","2","2","2","0.6926395893096924","0.6926395893096924","0.6926395893096924","2","2","2","0.6898086667060852","0.6898086667060852","0.6898086667060852","2","2","2","0.6979008316993713","0.6979008316993713","0.6979008316993713","2","2","2","0.6962746381759644","0.6962746381759644","0.6962746381759644"
"2","4","4","4","0.6911262273788452","0.6911262273788452","0.6911262273788452","4","4","4","0.6928508281707764","0.6928508281707764","0.6928508281707764","4","4","4","0.695135235786438","0.695135235786438","0.695135235786438","4","4","4","0.6989955306053162","0.6989955306053162","0.6989955306053162","4","4","4","0.6900426149368286","0.6900426149368286","0.6900426149368286","4","4","4","0.6946983337402344","0.6946983337402344","0.6946983337402344","4","4","4","0.70192551612854","0.70192551612854","0.70192551612854","4","4","4","0.688299298286438","0.688299298286438","0.688299298286438","4","4","4","0.6964423060417175","0.6964423060417175","0.6964423060417175","4","4","4","0.697602391242981","0.697602391242981","0.697602391242981"
"3","6","6","6","0.6885425448417664","0.6885425448417664","0.6885425448417664","6","6","6","0.6912926435470581","0.6912926435470581","0.6912926435470581","6","6","6","0.6921091079711914","0.6921091079711914","0.6921091079711914","6","6","6","0.6970796585083008","0.6970796585083008","0.6970796585083008","6","6","6","0.6947433352470398","0.6947433352470398","0.6947433352470398","6","6","6","0.6965917944908142","0.6965917944908142","0.6965917944908142","6","6","6","0.6925633549690247","0.6925633549690247","0.6925633549690247","6","6","6","0.6943761110305786","0.6943761110305786","0.6943761110305786","6","6","6","0.6915884017944336","0.6915884017944336","0.6915884017944336","6","6","6","0.6959609985351562","0.6959609985351562","0.6959609985351562"
"4","8","8","8","0.6891363263130188","0.6891363263130188","0.6891363263130188","8","8","8","0.6907284259796143","0.6907284259796143","0.6907284259796143","8","8","8","0.6906294822692871","0.6906294822692871","0.6906294822692871","8","8","8","0.6883487701416016","0.6883487701416016","0.6883487701416016","8","8","8","0.6914321184158325","0.6914321184158325","0.6914321184158325","8","8","8","0.6919693350791931","0.6919693350791931","0.6919693350791931","8","8","8","0.6957792043685913","0.6957792043685913","0.6957792043685913","8","8","8","0.6947083473205566","0.6947083473205566","0.6947083473205566","8","8","8","0.6930344104766846","0.6930344104766846","0.6930344104766846","8","8","8","0.7144791483879089","0.7144791483879089","0.7144791483879089"
"5","10","10","10","0.6864289045333862","0.6864289045333862","0.6864289045333862","10","10","10","0.6974525451660156","0.6974525451660156","0.6974525451660156","10","10","10","0.6851670742034912","0.6851670742034912","0.6851670742034912","10","10","10","0.6946333646774292","0.6946333646774292","0.6946333646774292","10","10","10","0.6954399347305298","0.6954399347305298","0.6954399347305298","10","10","10","0.68834388256073","0.68834388256073","0.68834388256073","10","10","10","0.6873300075531006","0.6873300075531006","0.6873300075531006","10","10","10","0.6891790628433228","0.6891790628433228","0.6891790628433228","10","10","10","0.6882540583610535","0.6882540583610535","0.6882540583610535","10","10","10","0.6859189867973328","0.6859189867973328","0.6859189867973328"
"6","12.5","12","13","0.6915885806083679","0.682978093624115","0.7001990675926208","12.5","12","13","0.6896925568580627","0.6894445419311523","0.6899405717849731","12.5","12","13","0.6945706307888031","0.6901950240135193","0.6989462375640869","12.5","12","13","0.6946709156036377","0.6931564807891846","0.6961853504180908","12.5","12","13","0.6883544027805328","0.6862275004386902","0.6904813051223755","12.5","12","13","0.6865642070770264","0.6851972341537476","0.6879311800003052","12.5","12","13","0.6877269744873047","0.6864289045333862","0.6890250444412231","12.5","12","13","0.6925056576728821","0.6902161836624146","0.6947951316833496","12.5","12","13","0.6934248507022858","0.6920110583305359","0.6948386430740356","12.5","12","13","0.6926897168159485","0.685904860496521","0.699474573135376"
"7","15","15","15","0.6893227100372314","0.6893227100372314","0.6893227100372314","15","15","15","0.6947959661483765","0.6947959661483765","0.6947959661483765","15","15","15","0.6873733997344971","0.6873733997344971","0.6873733997344971","15","15","15","0.6873959302902222","0.6873959302902222","0.6873959302902222","15","15","15","0.6931716203689575","0.6931716203689575","0.6931716203689575","15","15","15","0.6869716644287109","0.6869716644287109","0.6869716644287109","15","15","15","0.7012427449226379","0.7012427449226379","0.7012427449226379","15","15","15","0.6946160793304443","0.6946160793304443","0.6946160793304443","15","15","15","0.6963826417922974","0.6963826417922974","0.6963826417922974","15","15","15","0.6834205389022827","0.6834205389022827","0.6834205389022827"
"8","17","17","17","0.6894800662994385","0.6894800662994385","0.6894800662994385","17","17","17","0.6755421161651611","0.6755421161651611","0.6755421161651611","17","17","17","0.6888893246650696","0.6888893246650696","0.6888893246650696","17","17","17","0.692460834980011","0.692460834980011","0.692460834980011","17","17","17","0.6878212690353394","0.6878212690353394","0.6878212690353394","17","17","17","0.6792406439781189","0.6792406439781189","0.6792406439781189","17","17","17","0.6909816265106201","0.6909816265106201","0.6909816265106201","17","17","17","0.6922075152397156","0.6922075152397156","0.6922075152397156","17","17","17","0.6673691272735596","0.6673691272735596","0.6673691272735596","17","17","17","0.687447726726532","0.687447726726532","0.687447726726532"
"9","19","19","19","0.7100716829299927","0.7100716829299927","0.7100716829299927","19","19","19","0.6904343366622925","0.6904343366622925","0.6904343366622925","19","19","19","0.6900157928466797","0.6900157928466797","0.6900157928466797","19","19","19","0.6894583702087402","0.6894583702087402","0.6894583702087402","19","19","19","0.7012810707092285","0.7012810707092285","0.7012810707092285","19","19","19","0.6639487743377686","0.6639487743377686","0.6639487743377686","19","19","19","0.6805685758590698","0.6805685758590698","0.6805685758590698","19","19","19","0.6959792375564575","0.6959792375564575","0.6959792375564575","19","19","19","0.6957791447639465","0.6957791447639465","0.6957791447639465","19","19","19","0.7021602988243103","0.7021602988243103","0.7021602988243103"
