"Actual","Predicted","_defaultColorIndex","id","nPredictions","name"
"fist","fist","10","ufh6rbmx","6450","cnn_lstm_300_5_final_pretrained_51"
"fist","noGesture","10","ufh6rbmx","5","cnn_lstm_300_5_final_pretrained_51"
"fist","open","10","ufh6rbmx","211","cnn_lstm_300_5_final_pretrained_51"
"fist","pinch","10","ufh6rbmx","382","cnn_lstm_300_5_final_pretrained_51"
"fist","waveIn","10","ufh6rbmx","578","cnn_lstm_300_5_final_pretrained_51"
"fist","waveOut","10","ufh6rbmx","24","cnn_lstm_300_5_final_pretrained_51"
"noGesture","fist","10","ufh6rbmx","0","cnn_lstm_300_5_final_pretrained_51"
"noGesture","noGesture","10","ufh6rbmx","7545","cnn_lstm_300_5_final_pretrained_51"
"noGesture","open","10","ufh6rbmx","2","cnn_lstm_300_5_final_pretrained_51"
"noGesture","pinch","10","ufh6rbmx","37","cnn_lstm_300_5_final_pretrained_51"
"noGesture","waveIn","10","ufh6rbmx","52","cnn_lstm_300_5_final_pretrained_51"
"noGesture","waveOut","10","ufh6rbmx","14","cnn_lstm_300_5_final_pretrained_51"
"open","fist","10","ufh6rbmx","223","cnn_lstm_300_5_final_pretrained_51"
"open","noGesture","10","ufh6rbmx","2","cnn_lstm_300_5_final_pretrained_51"
"open","open","10","ufh6rbmx","5588","cnn_lstm_300_5_final_pretrained_51"
"open","pinch","10","ufh6rbmx","712","cnn_lstm_300_5_final_pretrained_51"
"open","waveIn","10","ufh6rbmx","258","cnn_lstm_300_5_final_pretrained_51"
"open","waveOut","10","ufh6rbmx","867","cnn_lstm_300_5_final_pretrained_51"
"pinch","fist","10","ufh6rbmx","487","cnn_lstm_300_5_final_pretrained_51"
"pinch","noGesture","10","ufh6rbmx","48","cnn_lstm_300_5_final_pretrained_51"
"pinch","open","10","ufh6rbmx","982","cnn_lstm_300_5_final_pretrained_51"
"pinch","pinch","10","ufh6rbmx","5778","cnn_lstm_300_5_final_pretrained_51"
"pinch","waveIn","10","ufh6rbmx","222","cnn_lstm_300_5_final_pretrained_51"
"pinch","waveOut","10","ufh6rbmx","133","cnn_lstm_300_5_final_pretrained_51"
"waveIn","fist","10","ufh6rbmx","275","cnn_lstm_300_5_final_pretrained_51"
"waveIn","noGesture","10","ufh6rbmx","21","cnn_lstm_300_5_final_pretrained_51"
"waveIn","open","10","ufh6rbmx","126","cnn_lstm_300_5_final_pretrained_51"
"waveIn","pinch","10","ufh6rbmx","131","cnn_lstm_300_5_final_pretrained_51"
"waveIn","waveIn","10","ufh6rbmx","7009","cnn_lstm_300_5_final_pretrained_51"
"waveIn","waveOut","10","ufh6rbmx","88","cnn_lstm_300_5_final_pretrained_51"
"waveOut","fist","10","ufh6rbmx","50","cnn_lstm_300_5_final_pretrained_51"
"waveOut","noGesture","10","ufh6rbmx","6","cnn_lstm_300_5_final_pretrained_51"
"waveOut","open","10","ufh6rbmx","579","cnn_lstm_300_5_final_pretrained_51"
"waveOut","pinch","10","ufh6rbmx","84","cnn_lstm_300_5_final_pretrained_51"
"waveOut","waveIn","10","ufh6rbmx","76","cnn_lstm_300_5_final_pretrained_51"
"waveOut","waveOut","10","ufh6rbmx","6855","cnn_lstm_300_5_final_pretrained_51"
