"Actual","Predicted","_defaultColorIndex","id","nPredictions","name"
"fist","fist","10","ifhb5b97","6263","cnn_lstm_50_30_final_pretrained_51"
"fist","noGesture","10","ifhb5b97","8","cnn_lstm_50_30_final_pretrained_51"
"fist","open","10","ifhb5b97","192","cnn_lstm_50_30_final_pretrained_51"
"fist","pinch","10","ifhb5b97","894","cnn_lstm_50_30_final_pretrained_51"
"fist","waveIn","10","ifhb5b97","236","cnn_lstm_50_30_final_pretrained_51"
"fist","waveOut","10","ifhb5b97","57","cnn_lstm_50_30_final_pretrained_51"
"noGesture","fist","10","ifhb5b97","27","cnn_lstm_50_30_final_pretrained_51"
"noGesture","noGesture","10","ifhb5b97","7491","cnn_lstm_50_30_final_pretrained_51"
"noGesture","open","10","ifhb5b97","35","cnn_lstm_50_30_final_pretrained_51"
"noGesture","pinch","10","ifhb5b97","30","cnn_lstm_50_30_final_pretrained_51"
"noGesture","waveIn","10","ifhb5b97","60","cnn_lstm_50_30_final_pretrained_51"
"noGesture","waveOut","10","ifhb5b97","7","cnn_lstm_50_30_final_pretrained_51"
"open","fist","10","ifhb5b97","139","cnn_lstm_50_30_final_pretrained_51"
"open","noGesture","10","ifhb5b97","2","cnn_lstm_50_30_final_pretrained_51"
"open","open","10","ifhb5b97","3274","cnn_lstm_50_30_final_pretrained_51"
"open","pinch","10","ifhb5b97","2187","cnn_lstm_50_30_final_pretrained_51"
"open","waveIn","10","ifhb5b97","76","cnn_lstm_50_30_final_pretrained_51"
"open","waveOut","10","ifhb5b97","1972","cnn_lstm_50_30_final_pretrained_51"
"pinch","fist","10","ifhb5b97","242","cnn_lstm_50_30_final_pretrained_51"
"pinch","noGesture","10","ifhb5b97","40","cnn_lstm_50_30_final_pretrained_51"
"pinch","open","10","ifhb5b97","972","cnn_lstm_50_30_final_pretrained_51"
"pinch","pinch","10","ifhb5b97","6004","cnn_lstm_50_30_final_pretrained_51"
"pinch","waveIn","10","ifhb5b97","137","cnn_lstm_50_30_final_pretrained_51"
"pinch","waveOut","10","ifhb5b97","255","cnn_lstm_50_30_final_pretrained_51"
"waveIn","fist","10","ifhb5b97","391","cnn_lstm_50_30_final_pretrained_51"
"waveIn","noGesture","10","ifhb5b97","16","cnn_lstm_50_30_final_pretrained_51"
"waveIn","open","10","ifhb5b97","86","cnn_lstm_50_30_final_pretrained_51"
"waveIn","pinch","10","ifhb5b97","442","cnn_lstm_50_30_final_pretrained_51"
"waveIn","waveIn","10","ifhb5b97","6648","cnn_lstm_50_30_final_pretrained_51"
"waveIn","waveOut","10","ifhb5b97","67","cnn_lstm_50_30_final_pretrained_51"
"waveOut","fist","10","ifhb5b97","39","cnn_lstm_50_30_final_pretrained_51"
"waveOut","noGesture","10","ifhb5b97","5","cnn_lstm_50_30_final_pretrained_51"
"waveOut","open","10","ifhb5b97","1392","cnn_lstm_50_30_final_pretrained_51"
"waveOut","pinch","10","ifhb5b97","476","cnn_lstm_50_30_final_pretrained_51"
"waveOut","waveIn","10","ifhb5b97","19","cnn_lstm_50_30_final_pretrained_51"
