"epoch","cnn_lstm_20_5_final_pretrained_45 - _step","cnn_lstm_20_5_final_pretrained_45 - _step__MIN","cnn_lstm_20_5_final_pretrained_45 - _step__MAX","cnn_lstm_20_5_final_pretrained_45 - val/loss","cnn_lstm_20_5_final_pretrained_45 - val/loss__MIN","cnn_lstm_20_5_final_pretrained_45 - val/loss__MAX","cnn_lstm_50_10_final_pretrained_48 - _step","cnn_lstm_50_10_final_pretrained_48 - _step__MIN","cnn_lstm_50_10_final_pretrained_48 - _step__MAX","cnn_lstm_50_10_final_pretrained_48 - val/loss","cnn_lstm_50_10_final_pretrained_48 - val/loss__MIN","cnn_lstm_50_10_final_pretrained_48 - val/loss__MAX","cnn_lstm_50_50_final_pretrained_43 - _step","cnn_lstm_50_50_final_pretrained_43 - _step__MIN","cnn_lstm_50_50_final_pretrained_43 - _step__MAX","cnn_lstm_50_50_final_pretrained_43 - val/loss","cnn_lstm_50_50_final_pretrained_43 - val/loss__MIN","cnn_lstm_50_50_final_pretrained_43 - val/loss__MAX"
"0","0","0","0","1.894892692565918","1.894892692565918","1.894892692565918","0","0","0","1.7471941709518433","1.7471941709518433","1.7471941709518433","0","0","0","1.397423267364502","1.397423267364502","1.397423267364502"
"1","1","1","1","1.8076403141021729","1.8076403141021729","1.8076403141021729","1","1","1","1.6341725587844849","1.6341725587844849","1.6341725587844849","1","1","1","1.3453750610351562","1.3453750610351562","1.3453750610351562"
"2","2","2","2","1.7447839975357056","1.7447839975357056","1.7447839975357056","2","2","2","1.5528810024261475","1.5528810024261475","1.5528810024261475","2","2","2","1.3418337106704712","1.3418337106704712","1.3418337106704712"
"3","3","3","3","1.6983497142791748","1.6983497142791748","1.6983497142791748","3","3","3","1.5101516246795654","1.5101516246795654","1.5101516246795654","4","4","4","1.2733572721481323","1.2733572721481323","1.2733572721481323"
"4","4","4","4","1.6601462364196777","1.6601462364196777","1.6601462364196777","4","4","4","1.4924640655517578","1.4924640655517578","1.4924640655517578","5","5","5","1.196242332458496","1.196242332458496","1.196242332458496"
"5","5","5","5","1.6343879699707031","1.6343879699707031","1.6343879699707031","5","5","5","1.4870972633361816","1.4870972633361816","1.4870972633361816","6","6","6","1.0398000478744507","1.0398000478744507","1.0398000478744507"
"6","6","6","6","1.5987942218780518","1.5987942218780518","1.5987942218780518","6","6","6","1.484986424446106","1.484986424446106","1.484986424446106","8","8","8","0.9150537252426147","0.9150537252426147","0.9150537252426147"
"7","7","7","7","1.5674718618392944","1.5674718618392944","1.5674718618392944","7","7","7","1.5255881547927856","1.5255881547927856","1.5255881547927856","9","9","9","0.8925274014472961","0.8925274014472961","0.8925274014472961"
"8","8","8","8","1.5411503314971924","1.5411503314971924","1.5411503314971924","8","8","8","1.5271685123443604","1.5271685123443604","1.5271685123443604","10","10","10","0.8720700144767761","0.8720700144767761","0.8720700144767761"
"9","9","9","9","1.515580654144287","1.515580654144287","1.515580654144287","9","9","9","1.4979572296142578","1.4979572296142578","1.4979572296142578","12","12","12","0.8566302061080933","0.8566302061080933","0.8566302061080933"
